Brand,Company,Date,ProductDescription,ProductType,Reason,Url,Terminated
Nature’s Own,"Best Buy Bones, Inc.",10/03/2025,Pet Chews Bully Bites Treats,"Animal & Veterinary, Food & Beverages",Potential Foodborne illness - Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/best-buy-bones-inc-recalls-natures-own-pet-chews-bully-bites-because-possible-salmonella-health-risk,
Multiple brand names,Albertsons Companies,10/02/2025,Bowtie Pasta Salads and Meals,"Food & Beverages, Foodborne Illness",Possible Listeria monocytogenes contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/update-albertsons-companies-voluntarily-recalls-select-store-made-deli-items-containing-bowtie-pasta,
Scott & Jon's,Demers Food Group,10/02/2025,Shrimp Scampi with Linguini,"Food & Beverages, Foodborne Illness",Potential Listeria monocytogenes contamination.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/demers-food-group-voluntarily-recalls-select-scott-jons-shrimp-scampi-linguini-bowls-due-ingredient,
Signature,New Age International Inc,10/01/2025,Enoki Mushrooms,"Food & Beverages, Foodborne Illness",Product may be contaminated with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/new-age-international-recalls-signature-enoki-mushrooms-due-potential-health-risk,
Sea Port,Sea Port Products Corp,10/01/2025,Raw Frozen Easy Peel White Shrimp Jumbo size 16/20,"Food & Beverages, Contaminants",Product May Have Become Contaminated with Cesium-137 (Cs-137),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sea-port-products-corp-recalling-raw-frozen-easy-peel-white-shrimp-because-product-may-have-become,
Doan's Bakery,Doan's Bakery,10/01/2025,White Chocolate Coconut & Carrot Bundt Cakes,"Food & Beverages, Allergens","Undeclared allergens, wheat and milk",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/doans-bakery-issues-allergy-update-undeclared-wheat-and-milk-allergens-bundt-cakes,
Albertsons Companies,Albertsons Companies,09/30/2025,Bowtie Pasta Salads and Meals,"Food & Beverages, Foodborne Illness",Possible Listeria monocytogenes contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/albertsons-companies-voluntarily-recalls-select-store-made-deli-items-containing-bowtie-pasta,
Lunds & Byerlys,Abdallah Inc.,09/30/2025,Chocolate candy with nuts.,"Food & Beverages, Allergens","Due to a mislabeled allergen, cashews",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/abdallah-candies-issues-voluntary-recall-pecan-caramel-clusters-due-undeclared-mislabeled-allergens,
Tru Fru,Georgia Nut Company,09/29/2025,Freeze Dried Fruit snacks,"Food & Beverages, Contaminants",Due to potential presence of metal in the product.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/georgia-nut-company-gnc-third-party-manufacturer-tru-fru-llc-issues-voluntary-recall-specific,
"Wholesale Produce Supply, LLC.","Wholesale Produce Supply, LLC.",09/29/2025,Fresh Cut Cantaloupe,"Food & Beverages, Foodborne Illness, Fruit/Fruit Product",Potential to be contaminated with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wholesale-produce-supply-minneapolis-minnesota-recalling-fresh-cutprocessed-cantaloupe-because-it,
G&L Food,"Gansu Zhaofeng Agricultural Development Co., Ltd.",09/27/2025,Dried Bean Curd,Food & Beverages,Undeclared wheat allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gansu-zhaofeng-agricultural-development-co-ltd-voluntarily-recalling-its-dried-bean-curd-due,
Wise Wife,SLR Food Distribution,09/26/2025,Cinnamon powder,"Food & Beverages, Contaminants, Spices, Flavors &  Salts",Potential to be contaminated with elevated levels of lead,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/slr-food-distribution-inc-recalls-wise-wife-brand-ground-cinnamon-because-possible-health-risk,
AquaStar,Aquastar Corp,09/25/2025,"Shrimp Skewers, Raw Peeled Tail-on","Food & Beverages, Contaminants, Shellfish",Potential Foodborne Illness - possible radionuclide (Cesium-137) contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/aquastar-usa-corp-recalls-aquastar-raw-shrimp-skewers-because-possible-health-risk,
Goot Essa,Goot Essa LLC,09/25/2025,Der Mutterschaf Cheese,"Food & Beverages, Foodborne Illness, Cheese/Cheese Product",Potential contamination with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/goot-essa-recalls-der-mutterschaf-cheese-because-possible-health-risk,
Sprout Organics,Sprout Organics,09/23/2025,"Sweet Potato Apple and Spinach, 3.5-ounce pouch","Food & Beverages, Contaminants",Potential Metal Contaminant - Lead,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sprout-organics-expands-voluntary-recall-sweet-potato-apple-and-spinach-include-additional-lot-codes,
Pinocchio,Lee K of NY INC,09/23/2025,Stewed Aged Kimchi w/ Mackerel,"Food & Beverages, Allergens",Potential or Undeclared Allergen – Milk and Shrimp,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lee-k-ny-issue-allergy-alert-undeclared-allergen-milk-and-shrimp-stewed-aged-kimchi-wmackerel,
Kroger,LAWRENCE WHOLESALE LLC,09/23/2025,Frozen shrimp,"Food & Beverages, Contaminants, Shellfish",Due to possible radionuclide (Cesium-137) contamination.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lawrence-wholesale-llc-recalls-kroger-bagged-frozen-shrimp-and-kroger-frozen-shrimp-products-because,
Sand Bar/Arctic Shores/Best Yet/Great American/First Street,"Southwind Foods, LLC",09/23/2025,Frozen Shrimp,"Food & Beverages, Contaminants, Shellfish",Potential Foodborne Illness - possible radionuclide (Cesium-137) contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/updated-release-southwind-foods-llc-recalls-frozen-shrimp-because-possible-health-risk-0,
Olympus,Olympus Corporation,09/22/2025,ViziShot 2 FLEX (19G) EBUS -TBNA needles,Medical Devices,Device Components May Detach During Procedures,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/olympus-issues-voluntary-recall-specific-lots-vizishot-2-flex-19g-ebus-tbna-needles,
"Kroger, Kroger Mercado, AquaStar",Aquastar Corp,09/21/2025,"Raw Shrimp, Cooked Shrimp, Shrimp Skewers","Food & Beverages, Contaminants, Shellfish",Due to possible radionuclide (Cesium-137) contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/aquastar-usa-corp-recalls-kroger-frozen-raw-ez-peel-kroger-mercado-frozen-cooked-shrimp-and-aquastar,
Kirkland Signature,Western United Fish Company dba Annasea Foods Group,09/20/2025,Ahi Tuna Wasabi Poke,"Food & Beverages, Foodborne Illness",Product has the potential to be contaminated with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/western-united-fish-company-recalls-kirkland-signature-brand-ahi-tuna-wasabi-poke-because-possible,
Haifa,Haifa Smoked Fish,09/17/2025,Cold Smoked Salmon and Cold Smoked Seabass,"Food & Beverages, Foodborne Illness",Potential contamination with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/haifa-smoked-fish-recalls-cold-smoked-salmon-and-cold-smoked-seabass-due-possible-health-risk,
Sprout Organics,Sprout Organics,09/16/2025,"Sweet Potato Apple and Spinach, 3.5-ounce pouch","Food & Beverages, Contaminants",Product may contain elevated levels of lead,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sprout-organics-voluntarily-recalls-one-lot-sweet-potato-apple-and-spinach-due-possible-health-risk,
BD Alaris,BD,09/15/2025,BD Alaris Pump Module model 8100 used with a subset of compatible pump infusion sets,Medical Devices,Pump performance variations compared to the performance described in the user manual could impact infusion delivery,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bd-provides-update-voluntary-recall-certain-bd-alaristm-pump-infusion-sets,
Goodles,"Gooder Foods, Inc",09/11/2025,Flavored pasta,"Food & Beverages, Allergens",Undeclared milk and cashews,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gooder-foods-issues-allergy-alert-undeclared-milk-and-cashews-goodles-vegan-believin-plant-based,
No Brand,Gina Marie Bakery,09/10/2025,Cookies,"Food & Beverages, Allergens","Undeclared almonds, sesame, Red 40, Red 3, Blue 1, Yellow 5, Red 40, Yellow 6",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gina-marie-bakery-waterbury-issues-recall-cookies-due-undeclared-almonds-sesame-and-food-dyes,
Good & Gather,"One Frozen, LLC",09/10/2025,Frozen Burrito Bowl,"Food & Beverages, Allergens",Undeclared shrimp (shellfish),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/one-frozen-llc-voluntarily-recalls-good-gathertm-southwest-style-burrito-bowl-blend-frozen-12oz-bags,
Deep,CHETAK LLC GROUP,09/10/2025,Frozen fruits and vegetables,"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/chetak-llc-group-expands-voluntary-product-recall-include-additional-frozen-vegetable-and-fruit,
"Middlefield Original Cheese Co-op, Sunrise Creamery",Middlefield Original Cheese Co-op,09/08/2025,Cheese,"Food & Beverages, Foodborne Illness, Cheese/Cheese Product",Potential contamination with-Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/middlefield-original-cheese-co-op-recalls-organic-gouda-colored-cheddar-mozzarellaprovolone-pepper,
Endico,Endico Potatoes Inc.,09/04/2025,"Frozen Peas and Carrots, Mixed Vegetables","Food & Beverages, Foodborne Illness",Potential contamination with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/endico-potatoes-inc-recalls-25lb-bags-frozen-peas-and-carrots-and-mixed-vegetables-because-possible,
G.Nutt,Ice Cream Factory,09/02/2025,Vanilla G.Nutt Ice Cream,"Food & Beverages, Allergens",Undeclared almond allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ice-cream-factory-issues-allergy-alert-undeclared-almond-vanilla-gnutt-ice-cream,
Hans Kissle,Hans Kissle,08/29/2025,Red Bliss Potato Salad,"Food & Beverages, Allergens",Undeclared wheat,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hans-kissle-llc-issues-allergy-alert-undeclared-wheat-allergen-hans-kissle-red-potato-bliss-salad-0,
Sand Bar/Arctic Shores/Best Yet/Great American/First Street,"Southwind Foods, LLC.",08/29/2025,Frozen shrimp,"Food & Beverages, Contaminants, Shellfish",Due to possible radionuclide (Cesium-137) contamination.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/updated-release-southwind-foods-llc-recalls-frozen-shrimp-because-possible-health-risk,
Green Lumber,"Green Lumber Holding, LLC.",08/29/2025,Dietary Supplement,Drugs,Undeclared prescription drug-Tadalafil,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/green-lumber-holding-llc-issues-consumer-alert-counterfeit-products-following-fda-findings,
Kroger,Aquastar Corp,08/28/2025,Mercado Frozen Cooked Shrimp,"Food & Beverages, Contaminants, Shellfish",Potential Contaminant – cesium-137 (Cs-137),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/aquastar-usa-corp-recalls-kroger-mercado-frozen-cooked-shrimp-because-possible-health-risk,
DermaRite,DermaRite Industries,08/28/2025,"Hand Sanitizers, Cleansers, Skin Protectants, Deodorant",Drugs,Device & Drug Safety - Potential Burkholderia cepacian contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dermarite-industries-expands-voluntary-nationwide-recall-due-potential-burkholderia-cepacia,
Aqua Star,Aquastar Corp,08/28/2025,Cocktail Shrimp,"Food & Beverages, Contaminants, Shellfish",Potential Contaminant – cesium-137 (Cs-137),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/aquastar-usa-corp-recalls-cocktail-shrimp-6oz-because-possible-health-risk,
Unichem Pharmaceuticals,Unichem Pharmaceuticals,08/27/2025,Cyclobenzaprine Hydrochloride Tablets USP 10 mg,Drugs,Device & Drug Safety – Mislabel,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/unichem-pharmaceuticals-usa-inc-issues-voluntary-nationwide-recall-cyclobenzaprine-hydrochloride,
"Country Eggs, NIJIYA, GOLDEN YOLK","Country Eggs, LLC",08/27/2025,Large Brown Cage Free Eggs,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness - Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/country-eggs-llc-recalls-large-brown-cage-free-sunshine-yolks-because-possible-health-risk,
Taylor Farms,Taylor Fresh Foods,08/26/2025,Honey Balsamic Salad Kit,"Food & Beverages, Allergens",Undeclared Allergen – Sesame and Soy,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/company-voluntarily-recalls-honey-balsamic-salad-kit-due-potential-undeclared-sesame-and-soy,
Viva,Viva Raw LLC.,08/25/2025,Ground Beef for Dogs and Ground Chicken for Dogs and Cats,"Animal & Veterinary, Foodborne Illness, Food & Beverages, Foodborne Illness",Salmonella and Listeria monocytogenes contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/viva-raw-issues-voluntary-recall-two-lots-dog-and-cat-foods-due-salmonella-and-listeria,
Blue Bell,"Blue Bell Creameries, L.P.",08/22/2025,Ice Cream,"Food & Beverages, Allergens","Undeclared almond, walnut, and pecan",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/blue-bell-ice-cream-issues-allergy-alert-undeclared-almond-walnut-and-pecan-moo-llennium-crunch-ice,
Great Value,"Beaver Street Fisheries, LLC",08/22/2025,Frozen Raw Shrimp,"Food & Beverages, Contaminants, Shellfish",Possible contamination with radionuclide (Cesium-137),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/beaver-street-fisheries-llc-recalls-great-value-frozen-raw-shrimp-because-possible-health-risk,
Sand Bar/Arctic Shores/Best Yet/Great American/First Street,"Southwind Foods, LLC.",08/21/2025,Frozen shrimp,"Food & Beverages, Contaminants, Shellfish",Due to possible radionuclide (Cesium-137) contamination.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/southwind-foods-llc-recalls-frozen-shrimp-because-possible-health-risk,
B. Braun,"B. Braun Medical, Inc.",08/19/2025,Lactated Ringer’s Injection USP 1000 mL/0.9% Sodium Chloride Injection USP 1000 mL,Drugs,Due to the presence of particulate matter.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/b-braun-medical-issues-voluntary-nationwide-recall-lactated-ringers-injection-usp-1000-ml-and-09,
Middlefield Original Cheese Co-op/Copia Collective/Farmers Cheese,Middlefield Original Cheese Co-op,08/18/2025,Cheese,"Food & Beverages, Foodborne Illness, Cheese/Cheese Product",Potential contamination with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/middlefield-original-cheese-co-op-recalls-100-grass-fed-pepper-jack-cheese-and-horseradish-flavored,
Brie Royal Faucon,Fromi USA,08/14/2025,Brie Royal Faucon Cheese,Food & Beverages,Potential contamination with Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fromi-usa-recalls-brie-royal-faucon-1kg-because-possible-health-risk,
Quesito El Establo,Quesito El Establo,08/13/2025,Spanish Cheese (Quesito Colombiano),"Food & Beverages, Foodborne Illness, Cheese/Cheese Product","Due to the presence of rodent, rodent activity, and other insanitary conditions during the manufacturing and storage process",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/quesito-el-establo-retira-del-mercado-queso-quesito-colombiano-debido-posible-riesgo-para-la-salud,
"Tandem Diabetes Care, Inc.","Tandem Diabetes Care, Inc.",08/12/2025,t:slim X2 insulin pumps,Medical Devices,Potential speaker-related issue that can trigger an error resulting in a discontinuation of insulin delivery,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tandem-diabetes-care-issues-voluntary-medical-device-correction-select-tslim-x2-insulin-pumps,
Max Mobility/Permobil,"Max Mobility, LLC.",08/12/2025,Speed Control Dial Component,Medical Devices,Due to potential safety and performance concerns,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/max-mobility-permobil-announces-worldwide-expanded-recall-and-removal-all-speedcontrol-dials-market,
Clover Valley,Dollar General Corporation,08/12/2025,Instant coffee,Food & Beverages,Potential presence of glass,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dollar-general-announces-voluntary-recall-clover-valleyr-instant-coffee-due-potential-presence-glass,
Wegmans,Wegmans New York,08/12/2025,Cheeses,"Food & Beverages, Foodborne Illness, Cheese/Cheese Product",Potential Foodborne Illness - Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wegmans-food-markets-inc-recalls-various-wegmans-camembert-soft-ripened-cheese-products-because,
Quesito El Establo,Quesito El Establo,08/12/2025,Spanish Cheese (Quesito Colombiano),"Food & Beverages, Foodborne Illness, Cheese/Cheese Product","Due to the presence of rodent, rodent activity, and other insanitary conditions during the manufacturing and storage process",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/quesito-el-establo-recalls-spanish-cheese-quesito-colombiano-because-possible-health-risk,
Neuhaus,Neuhaus Chocolates NV,08/10/2025,Belgian Chocolate Moments Smurfs Popping Milk Chocolates with Cookies,"Food & Beverages, Allergens",Undeclared wheat allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/neuhaus-issues-allergy-alert-undeclared-wheat-belgian-chocolate-moments-smurfs-popping-milk,
"DermaKleen, Dermasarra, Kleenfoam, and Perigiene","DermaRite Industries, LL",08/09/2025,"OTC antiseptic lotion soaps, external analgesics, antimicrobial foam soaps, and antiseptic cleansers",Drugs,Contamination with Burkholderia cepacia,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dermarite-industries-issues-voluntary-nationwide-recall-dermakleen-dermasarra-kleenfoam-and,
Friendly’s,"DFA Dairy Brands, LLC",08/06/2025,Cookies and Cream Ice Cream,"Food & Beverages, Allergens",Undeclared wheat and soy allergens,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/friendlys-issues-allergy-alert-undeclared-soywheat-friendlys-cookies-cream-ice-cream,
Hans Kissle,Hans Kissle,08/05/2025,Red Bliss Potato Salad,"Food & Beverages, Allergens",Undeclared wheat,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hans-kissle-llc-issues-allergy-alert-undeclared-wheat-allergen-hans-kissle-red-potato-bliss-salad,
Member’s Mark,"Doehler Dry Ingredient Solutions, LLC",07/31/2025,Freeze dried fruit,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/doehler-dry-ingredient-solutions-llc-recalls-members-mark-freeze-dried-fruit-variety-pack-listeria,
"High Noon, Celsius",High Noon,07/30/2025,Energy Drink,Food & Beverages,Cans contain alcohol,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/high-noon-announces-recall-its-vodka-seltzer-beach-pack-12-pack-due-inclusion-celsiusr-astro-vibe-tm,
"Randalls, Albertsons, Tom Thumb",Albertsons,07/28/2025,Additional Tuna Salad products,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/albertsons-companies-stores-arkansas-louisiana-oklahoma-and-texas-voluntarily-expands-recall-select,
Hillside Orchard Farms,Hillside Orchard Farms,07/28/2025,Fruit Bread and Fritters,"Food & Beverages, Allergens",Undeclared Allergen – Egg,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hillside-orchard-farms-recalls-various-fruit-breads-fritters-due-undeclared-egg,
"La Michoacana, Helados Mexico",Tropicale Foods,07/26/2025,Ice cream products,"Food & Beverages, Allergens",Undeclared milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tropicale-foods-recalls-certain-helados-mexico-and-la-michoacana-products-due-undeclared-milk,
Parashore,WW Industrial Group,07/23/2025,Canned Sliced Pears,"Food & Beverages, Contaminants",Potential Metal Contaminant – Lead and Cadmium,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ww-industrial-group-recalls-pear-slices-juice-due-elevated-levels-lead-and-cadmium,
Jewel Osco,Jewel Osco,07/21/2025,Tuna Salad Products,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/jewel-osco-stores-illinois-indiana-and-iowa-voluntarily-recalls-select-items-containing-tuna-salad,
"Randalls, Albertsons",Albertsons,07/21/2025,Tuna Salad products,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/albertsons-companies-stores-arkansas-louisiana-oklahoma-and-texas-voluntarily-recalls-select-items,
Nirwana Foods,Nirwana Foods LLC,07/18/2025,Golden Raisins,"Food & Beverages, Allergens",Undeclared sulfites,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/nirwana-foods-issues-allergy-alert-undeclared-sulfites-golden-raisin-28oz-pouch-label,
Alaris™ and BD Alaris™,"Becton, Dickinson and Company",07/17/2025,Pump Modules,Medical Devices,May have been serviced with previously recalled bezel kit assemblies,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bd-issues-update-voluntary-global-recall-alaristm-and-bd-alaristm-pump-modules-serviced-legacy-bezel,
L'espoir,"Jalux Americas, Inc.(dba J.sweets)",07/17/2025,"L’espoir and Drycapot cookies,","Food & Beverages, Allergens",Undeclared milk and tree nuts (almonds and macadamia nuts),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/jalux-americas-inc-dba-jsweets-issues-allergy-alert-undeclared-tree-nuts-and-milk-lespoir-brand,
Deep,CHETAK LLC GROUP,07/16/2025,Sprouted Moong (sprouted mung beans),"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/chetak-llc-group-recalls-product-because-possible-health-risk,
Sandoz,"Sandoz, Inc.",07/15/2025,"Cefazolin for Injection, USP, 1 gm vial",,Vials incorrectly labelled as Penicillin G Potassium for Injection contain Cefazolin for Injection,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/update-sandoz-inc-issues-voluntary-nationwide-recall-expansion-one-additional-lot-cefazolin,
ARAL SILVER VOBLA,KRASNIY OKTYABR INC. USA,07/15/2025,EVISCERATE DRY SALTED VOBLA ARAL SILVER,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Clostridium botulinum,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/krasniy-oktyabr-inc-usa-issues-alert-eviscerate-dry-salted-vobla-aral-silver,
Nostrum Laboratories,"Nostrum Laboratories, Inc.",07/14/2025,Sucralfate Tablets USP 1 gram,Drugs,Company closure and discontinuation of quality activities.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/nostrum-laboratories-inc-issues-voluntary-nationwide-recall-sucralfate-tablets-usp-1-gram-within,
YoCrunch®,Danone U.S.,07/14/2025,Yogurt with topper,"Food & Beverages, Foodborne Illness",Potential presence of plastic pieces in the dome topper.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/yocrunchr-products-voluntarily-recalled-danone-us-due-potential-presence-plastic-pieces-dome-topper,
Lewis Bake Shop,"Hartford Bakery, Inc.",07/14/2025,Artisan Style 1/2 Loaf,"Food & Beverages, Allergens",Undeclared hazelnuts,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/updated-release-hartford-bakery-inc-issues-allergy-alert-undeclared-hazelnuts-lewis-bake-shop,
Emek,World Market,07/14/2025,Spread Pistachio Cacao Cream with Kadayif,"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/world-market-recalls-emek-spread-pistachio-cacao-cream-kadayif-due-salmonella-contamination,
LLK TRADING INC.,LLK TRADING INC.,07/13/2025,Needle mushroom,Food & Beverages,Potential Foodborne Illness – Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/llk-trading-inc-recalls-needle-mushrooms-because-possible-health-risk,
Peeters and Aunt Mid’s,Wiet Peeters Farm Products Limited,07/11/2025,Fresh sliced and Cremini sliced mushrooms,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness - Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wiet-peeters-farm-products-limited-recalls-aunt-mids-fresh-sliced-mushrooms-peeters-mushroom-farm,
Lewis Bake Shop,"Hartford Bakery, Inc.",07/10/2025,Artisan Style 1/2 Loaf,"Food & Beverages, Allergens, Bakery Product/Mix",Undeclared hazelnuts,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hartford-bakery-inc-issues-allergy-alert-undeclared-hazelnuts-lewis-bake-shop-artisan-style-12-loaf,
Sheehan Brothers Vending,Sheehan Brothers Vending,07/10/2025,"Cheeseburgers, Spicy Chicken Sandwich, Italian Mini Subs, Pepperoni Pizza Sub, Chili Cheese Coney and BBQ Riblet w/coleslaw","Food & Beverages, Allergens",Undeclared sesame,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sheehan-brothers-vending-issues-voluntary-recall-due-undeclared-sesame-allergen,
Payback®,"CHS, Inc.",07/09/2025,Champion Lamb Text B30 with Power Booster,"Animal & Veterinary, Foodborne Illness, Food & Beverages, Foodborne Illness",Elevated levels of copper,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/chs-inc-recalls-payback-champion-lamb-feed-due-elevated-copper-health-risk,
Wei-Chuan,Natureen International Inc.,07/09/2025,Dried Black Fungus Slice,"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/natureen-international-inc-recalls-wei-chuan-dried-black-fungus-slice-25oz-because-possible-health,
Ritz,Mondelez Global LLC,07/08/2025,Peanut butter cracker sandwiches,"Food & Beverages, Allergens",Undeclared Allergen – Peanut,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mondelez-global-llc-conducts-us-voluntary-recall-four-carton-sizes-ritz-peanut-butter-cracker,
Wegmans,"Mellace Family Brands California, Inc.",06/30/2025,Semi-sweet Chocolate,"Food & Beverages, Allergens",Undeclared milk allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mellace-family-brands-california-inc-issues-allergy-alert-undeclared-milk-allergen-wegmans-semi,
Sandoz,Sandoz Inc.,06/27/2025,"Cefazolin for Injection, USP, 1 gm vial",Drugs,Potential Presence of Penicillin G Potassium Injection Vial,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sandoz-inc-issues-voluntary-nationwide-recall-one-lot-cefazolin-injection-due-product-mispackaging,
Danshi,"SHANG HAO JIA, INC",06/27/2025,Spicy Shredded Tofu,Food & Beverages,Undeclared Sesame,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/shang-hao-jia-inc-issues-allergy-alert-undeclared-sesame-danshi-brand-spicy-shredded-tofu,
Kilwins,"Kilwins Quality Confections, LLC",06/25/2025,Mocha Truffles,"Food & Beverages, Allergens",Undeclared pecans,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/kilwins-quality-confections-llc-issues-allergy-alert-undeclared-pecans-mocha-truffles,
Face Rock Creamery,Face Rock Creamer,06/21/2025,Vampire Slayer Garlic Cheddar Curds,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/face-rock-creamery-voluntarily-recalls-vampire-slayer-garlic-cheddar-curds-because-possible-health,
